ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u32, SumSQ.u32, Count.u64, Min.u32, Max.u32, Sum.f64, SumSQ.f64, Min.f64, Max.f64
T25C06__mpe, activeCycle, , Accumulator, 34684515000, 8, 1580000, 1580000, 1580000, 1, 1, 0, 0, 0, 0
T25C07_ctrl, activeCycleF, , Accumulator, 34684515000, 8, 34684515, 34684515, 34684515, 1, 1, 0, 0, 0, 0
T25C07_ctrl, activeCycleD, , Accumulator, 34684515000, 8, 34141833, 34141833, 34141833, 1, 1, 0, 0, 0, 0
T25C07_ctrl, activeCycleM, , Accumulator, 34684515000, 8, 5823186, 5823186, 5823186, 1, 1, 0, 0, 0, 0
T25C07_ctrl, activeCycleALU, , Accumulator, 34684515000, 8, 23461833, 23461833, 23461833, 1, 1, 0, 0, 0, 0
T25C07_ctrl, activeCycleFPU, , Accumulator, 34684515000, 8, 2860000, 2860000, 2860000, 1, 1, 0, 0, 0, 0
T25C07_acam, energyCAM, , Accumulator, 34684515000, 8, 0, 0, 68423680000, 0, 0, 183058546744.648804, 2423575326079.601074, 0.646400, 87.552000
T25C07_acam, energyDAC, , Accumulator, 34684515000, 8, 0, 0, 1040000, 0, 0, 47983279.331875, 2213841437.864069, 46.137769, 46.137769
T25C07_acam, energySA, , Accumulator, 34684515000, 8, 0, 0, 266240000, 0, 0, 4792319999.999999, 86261759999.999985, 18.000000, 18.000000
T25C07_acam, energyPC, , Accumulator, 34684515000, 8, 0, 0, 266240000, 0, 0, 3924910099.147916, 57861024161.071457, 14.742000, 14.742000
T25C07_acam, energyREG, , Accumulator, 34684515000, 8, 0, 0, 267280001, 0, 0, 12454276424.162323, 104266996510059347968.000000, 8.170000, 10211121216.000000
T25C07__mpe, activeCycle, , Accumulator, 34684515000, 8, 1580000, 1580000, 1580000, 1, 1, 0, 0, 0, 0
T25C08_ctrl, activeCycleF, , Accumulator, 34684515000, 8, 34684515, 34684515, 34684515, 1, 1, 0, 0, 0, 0
T25C08_ctrl, activeCycleD, , Accumulator, 34684515000, 8, 34141833, 34141833, 34141833, 1, 1, 0, 0, 0, 0
T25C08_ctrl, activeCycleM, , Accumulator, 34684515000, 8, 5823186, 5823186, 5823186, 1, 1, 0, 0, 0, 0
T25C08_ctrl, activeCycleALU, , Accumulator, 34684515000, 8, 23461833, 23461833, 23461833, 1, 1, 0, 0, 0, 0
T25C08_ctrl, activeCycleFPU, , Accumulator, 34684515000, 8, 2860000, 2860000, 2860000, 1, 1, 0, 0, 0, 0
T25C08_acam, energyCAM, , Accumulator, 34684515000, 8, 0, 0, 68423680000, 0, 0, 182836542592.993805, 2423430816984.069336, 0.646400, 87.552000
T25C08_acam, energyDAC, , Accumulator, 34684515000, 8, 0, 0, 1040000, 0, 0, 47983279.331875, 2213841437.864069, 46.137769, 46.137769
T25C08_acam, energySA, , Accumulator, 34684515000, 8, 0, 0, 266240000, 0, 0, 4792319999.999999, 86261759999.999985, 18.000000, 18.000000
T25C08_acam, energyPC, , Accumulator, 34684515000, 8, 0, 0, 266240000, 0, 0, 3924910099.147916, 57861024161.071457, 14.742000, 14.742000
T25C08_acam, energyREG, , Accumulator, 34684515000, 8, 0, 0, 267280001, 0, 0, 12454276424.162323, 104266996510059347968.000000, 8.170000, 10211121216.000000
T25C08__mpe, activeCycle, , Accumulator, 34684515000, 8, 1580000, 1580000, 1580000, 1, 1, 0, 0, 0, 0
T25C09_ctrl, activeCycleF, , Accumulator, 34684515000, 8, 34684515, 34684515, 34684515, 1, 1, 0, 0, 0, 0
T25C09_ctrl, activeCycleD, , Accumulator, 34684515000, 8, 34141833, 34141833, 34141833, 1, 1, 0, 0, 0, 0
T25C09_ctrl, activeCycleM, , Accumulator, 34684515000, 8, 5823186, 5823186, 5823186, 1, 1, 0, 0, 0, 0
T25C09_ctrl, activeCycleALU, , Accumulator, 34684515000, 8, 23461833, 23461833, 23461833, 1, 1, 0, 0, 0, 0
T25C09_ctrl, activeCycleFPU, , Accumulator, 34684515000, 8, 2860000, 2860000, 2860000, 1, 1, 0, 0, 0, 0
T25C09_acam, energyCAM, , Accumulator, 34684515000, 8, 0, 0, 68423680000, 0, 0, 183397936635.266205, 2425595959906.487793, 0.646400, 87.552000
T25C09_acam, energyDAC, , Accumulator, 34684515000, 8, 0, 0, 1040000, 0, 0, 47983279.331875, 2213841437.864069, 46.137769, 46.137769
