ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.f64, SumSQ.f64, Count.u64, Min.f64, Max.f64, Sum.u32, SumSQ.u32, Min.u32, Max.u32
T02C14_acam, energyCAM, , Accumulator, 34684515000, 1, 182977942732.572723, 2424006547999.618652, 68423680000, 0.646400, 87.552000, 0, 0, 0, 0
T02C14_acam, energyDAC, , Accumulator, 34684515000, 1, 47983279.331875, 2213841437.864069, 1040000, 46.137769, 46.137769, 0, 0, 0, 0
T02C14_acam, energySA, , Accumulator, 34684515000, 1, 4792319999.999999, 86261759999.999985, 266240000, 18.000000, 18.000000, 0, 0, 0, 0
T02C14_acam, energyPC, , Accumulator, 34684515000, 1, 3924910099.147916, 57861024161.071457, 266240000, 14.742000, 14.742000, 0, 0, 0, 0
T02C14_acam, energyREG, , Accumulator, 34684515000, 1, 12454276424.162323, 104266996510059347968.000000, 267280001, 8.170000, 10211121216.000000, 0, 0, 0, 0
T02C14__mpe, activeCycle, , Accumulator, 34684515000, 1, 0, 0, 1580000, 0, 0, 1580000, 1580000, 1, 1
T02C15_ctrl, activeCycleF, , Accumulator, 34684515000, 1, 0, 0, 34684515, 0, 0, 34684515, 34684515, 1, 1
T02C15_ctrl, activeCycleD, , Accumulator, 34684515000, 1, 0, 0, 34141833, 0, 0, 34141833, 34141833, 1, 1
T02C15_ctrl, activeCycleM, , Accumulator, 34684515000, 1, 0, 0, 5823186, 0, 0, 5823186, 5823186, 1, 1
T02C15_ctrl, activeCycleALU, , Accumulator, 34684515000, 1, 0, 0, 23461833, 0, 0, 23461833, 23461833, 1, 1
T02C15_ctrl, activeCycleFPU, , Accumulator, 34684515000, 1, 0, 0, 2860000, 0, 0, 2860000, 2860000, 1, 1
T02C15_acam, energyCAM, , Accumulator, 34684515000, 1, 183115282980.823669, 2425146794095.836914, 68423680000, 0.646400, 87.552000, 0, 0, 0, 0
T02C15_acam, energyDAC, , Accumulator, 34684515000, 1, 47983279.331875, 2213841437.864069, 1040000, 46.137769, 46.137769, 0, 0, 0, 0
T02C15_acam, energySA, , Accumulator, 34684515000, 1, 4792319999.999999, 86261759999.999985, 266240000, 18.000000, 18.000000, 0, 0, 0, 0
T02C15_acam, energyPC, , Accumulator, 34684515000, 1, 3924910099.147916, 57861024161.071457, 266240000, 14.742000, 14.742000, 0, 0, 0, 0
T02C15_acam, energyREG, , Accumulator, 34684515000, 1, 12454276424.162323, 104266996510059347968.000000, 267280001, 8.170000, 10211121216.000000, 0, 0, 0, 0
T02C15__mpe, activeCycle, , Accumulator, 34684515000, 1, 0, 0, 1580000, 0, 0, 1580000, 1580000, 1, 1
T03_ctrl, activeCycleF, , Accumulator, 34684515000, 1, 0, 0, 34684515, 0, 0, 34684515, 34684515, 1, 1
T03_ctrl, activeCycleD, , Accumulator, 34684515000, 1, 0, 0, 28071834, 0, 0, 28071834, 28071834, 1, 1
T03_ctrl, activeCycleM, , Accumulator, 34684515000, 1, 0, 0, 11303086, 0, 0, 15463086, 23783086, 1, 2
T03_ctrl, activeCycleALU, , Accumulator, 34684515000, 1, 0, 0, 27801733, 0, 0, 27801733, 27801733, 1, 1
T03_ctrl, activeCycleFPU, , Accumulator, 34684515000, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
T03C00_ctrl, activeCycleF, , Accumulator, 34684515000, 1, 0, 0, 34684515, 0, 0, 34684515, 34684515, 1, 1
T03C00_ctrl, activeCycleD, , Accumulator, 34684515000, 1, 0, 0, 34141833, 0, 0, 34141833, 34141833, 1, 1
T03C00_ctrl, activeCycleM, , Accumulator, 34684515000, 1, 0, 0, 5823186, 0, 0, 5823186, 5823186, 1, 1
T03C00_ctrl, activeCycleALU, , Accumulator, 34684515000, 1, 0, 0, 23461833, 0, 0, 23461833, 23461833, 1, 1
T03C00_ctrl, activeCycleFPU, , Accumulator, 34684515000, 1, 0, 0, 2860000, 0, 0, 2860000, 2860000, 1, 1
T03C00_acam, energyCAM, , Accumulator, 34684515000, 1, 182695768465.496918, 2423269215665.916016, 68423680000, 0.646400, 87.552000, 0, 0, 0, 0
T03C00_acam, energyDAC, , Accumulator, 34684515000, 1, 47983279.331875, 2213841437.864069, 1040000, 46.137769, 46.137769, 0, 0, 0, 0
T03C00_acam, energySA, , Accumulator, 34684515000, 1, 4792319999.999999, 86261759999.999985, 266240000, 18.000000, 18.000000, 0, 0, 0, 0
T03C00_acam, energyPC, , Accumulator, 34684515000, 1, 3924910099.147916, 57861024161.071457, 266240000, 14.742000, 14.742000, 0, 0, 0, 0
T03C00_acam, energyREG, , Accumulator, 34684515000, 1, 12454276424.162323, 104266996510059347968.000000, 267280001, 8.170000, 10211121216.000000, 0, 0, 0, 0
T03C00__mpe, activeCycle, , Accumulator, 34684515000, 1, 0, 0, 1580000, 0, 0, 1580000, 1580000, 1, 1
T03C01_ctrl, activeCycleF, , Accumulator, 34684515000, 1, 0, 0, 34684515, 0, 0, 34684515, 34684515, 1, 1
T03C01_ctrl, activeCycleD, , Accumulator, 34684515000, 1, 0, 0, 34141833, 0, 0, 34141833, 34141833, 1, 1
T03C01_ctrl, activeCycleM, , Accumulator, 34684515000, 1, 0, 0, 5823186, 0, 0, 5823186, 5823186, 1, 1
T03C01_ctrl, activeCycleALU, , Accumulator, 34684515000, 1, 0, 0, 23461833, 0, 0, 23461833, 23461833, 1, 1
